1,0, 0.00, 0.01
1,0, 0.10, 0.20
1,0, 0.20, 0.15
1,0, 0.30, 0.14
1,0, 0.40, 0.13
1,0, 0.43, 0.10
1,0, 0.15, 0.10
1,0, 0.16, 0.50
1,0, 0.28, 0.40
1,0, 0.35, 0.20
1,0, 0.40, 0.10
1,0, 0.10, 0.20
1,0, 0.15, 0.10
1,0, 0.20, 0.20
1,0, 0.40, 0.15
1,0, 0.20, 0.12

1,0, 0.04, 0.51
1,0, 0.11, 0.70
1,0, 0.23, 0.55
1,0, 0.35, 0.64
1,0, 0.47, 0.73
1,0, 0.48, 0.70
1,0, 0.14, 0.60
1,0, 0.12, 0.70
1,0, 0.23, 0.80
1,0, 0.34, 0.50
1,0, 0.46, 0.60
1,0, 0.18, 0.70
1,0, 0.12, 0.90
1,0, 0.21, 0.90
1,0, 0.43, 0.55
1,0, 0.21, 0.62

0,1, 0.80, 0.70
0,1, 0.50, 0.80
0,1, 0.68, 0.30
0,1, 0.73, 0.50
0,1, 0.84, 0.90
0,1, 0.95, 0.40
0,1, 0.62, 0.45
0,1, 0.65, 0.60
0,1, 0.63, 0.70
0,1, 0.89, 0.47
0,1, 0.72, 0.67
0,1, 0.53, 0.88
0,1, 0.67, 0.69
0,1, 0.83, 0.70
0,1, 0.52, 0.55
0,1, 0.74, 0.67
